cur_gameloop,joint_action,layout,layout_name,reward,score,state,time_elapsed,time_left,trial_id,player_0_is_human,player_1_is_human,player_0_id,player_1_id
435,"[[0, -1], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0,25,"{'players': [{'position': [2, 2], 'orientation': [1, 0], 'held_object': {'name': 'dish', 'position': [2, 2]}}, {'position': [2, 1], 'orientation': [0, -1], 'held_object': {'name': 'onion', 'position': [2, 1]}}], 'objects': [{'name': 'onion', 'position': [3, 0]}, {'name': 'soup', 'position': [2, 0], '_ingredients': [{'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}], 'cooking_tick': 12, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 12}, {'name': 'onion', 'position': [1, 0]}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",65.404,115,50,True,True,22,23
1060,"[[0, 0], [0, 0]]","['XXXXXXXXX', 'O XSXOX S', 'X   P 1 X', 'X2  P   X', 'XXXDXDXXX']",asymmetric_advantages,0,75,"{'players': [{'position': [5, 3], 'orientation': [-1, 0], 'held_object': {'name': 'dish', 'position': [5, 3]}}, {'position': [3, 3], 'orientation': [0, 1], 'held_object': {'name': 'dish', 'position': [3, 3]}}], 'objects': [{'name': 'soup', 'position': [4, 3], '_ingredients': [{'name': 'onion', 'position': [4, 3]}, {'name': 'onion', 'position': [4, 3]}, {'name': 'onion', 'position': [4, 3]}], 'cooking_tick': 17, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 17}, {'name': 'soup', 'position': [4, 2], '_ingredients': [{'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}], 'cooking_tick': 13, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 13}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",159.15200000000002,21,61,True,True,26,27
918,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0,65,"{'players': [{'position': [1, 1], 'orientation': [1, 0], 'held_object': {'name': 'dish', 'position': [1, 1]}}, {'position': [3, 1], 'orientation': [1, 0], 'held_object': None}], 'objects': [{'name': 'soup', 'position': [2, 0], '_ingredients': [{'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}], 'cooking_tick': 4, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 4}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",137.851,42,100,True,True,42,43
282,"[[0, 0], [0, -1]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,15,"{'players': [{'position': [3, 1], 'orientation': [1, 0], 'held_object': None}, {'position': [1, 2], 'orientation': [0, -1], 'held_object': {'name': 'onion', 'position': [1, 2]}}], 'objects': [{'name': 'soup', 'position': [4, 1], '_ingredients': [{'name': 'onion', 'position': [4, 1]}, {'name': 'onion', 'position': [4, 1]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",42.457,138,52,True,True,22,23
102,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0,5,"{'players': [{'position': [1, 1], 'orientation': [-1, 0], 'held_object': None}, {'position': [3, 1], 'orientation': [1, 0], 'held_object': {'name': 'onion', 'position': [3, 1]}}], 'objects': [{'name': 'soup', 'position': [2, 0], '_ingredients': [{'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",15.45,165,5,True,True,4,5
1175,"[[0, 1], [0, -1]]","['XXXXXXXXX', 'O XSXOX S', 'X   P 1 X', 'X2  P   X', 'XXXDXDXXX']",asymmetric_advantages,0,95,"{'players': [{'position': [7, 1], 'orientation': [1, 0], 'held_object': None}, {'position': [1, 1], 'orientation': [0, -1], 'held_object': None}], 'objects': [{'name': 'onion', 'position': [6, 1]}, {'name': 'soup', 'position': [4, 3], '_ingredients': [{'name': 'onion', 'position': [4, 3]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}, {'name': 'onion', 'position': [7, 4]}, {'name': 'dish', 'position': [0, 2]}, {'name': 'onion', 'position': [6, 4]}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",176.403,4,116,True,True,48,49
863,"[[1, 0], [0, 0]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,45,"{'players': [{'position': [2, 1], 'orientation': [1, 0], 'held_object': {'name': 'onion', 'position': [2, 1]}}, {'position': [2, 3], 'orientation': [0, 1], 'held_object': {'name': 'soup', 'position': [2, 3], '_ingredients': [{'name': 'onion', 'position': [2, 3]}, {'name': 'onion', 'position': [2, 3]}, {'name': 'onion', 'position': [2, 3]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}}], 'objects': [{'name': 'soup', 'position': [3, 0], '_ingredients': [{'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}, {'name': 'onion', 'position': [1, 0]}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",129.612,50,52,True,True,22,23
590,"[[0, 0], [1, 0]]","['XXXXXXXXX', 'O XSXOX S', 'X   P 1 X', 'X2  P   X', 'XXXDXDXXX']",asymmetric_advantages,0,35,"{'players': [{'position': [5, 3], 'orientation': [0, 1], 'held_object': {'name': 'dish', 'position': [5, 3]}}, {'position': [3, 2], 'orientation': [0, -1], 'held_object': {'name': 'dish', 'position': [3, 2]}}], 'objects': [{'name': 'soup', 'position': [4, 3], '_ingredients': [{'name': 'onion', 'position': [4, 3]}, {'name': 'onion', 'position': [4, 3]}, {'name': 'onion', 'position': [4, 3]}], 'cooking_tick': 9, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 9}, {'name': 'soup', 'position': [4, 2], '_ingredients': [{'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}], 'cooking_tick': 18, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 18}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",88.65100000000001,91,61,True,True,26,27
211,"[[0, -1], [1, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0,5,"{'players': [{'position': [2, 2], 'orientation': [1, 0], 'held_object': {'name': 'dish', 'position': [2, 2]}}, {'position': [2, 1], 'orientation': [-1, 0], 'held_object': {'name': 'onion', 'position': [2, 1]}}], 'objects': [{'name': 'soup', 'position': [2, 0], '_ingredients': [{'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}], 'cooking_tick': 16, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 16}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",31.804,148,20,True,True,10,11
26,"[[0, 0], [0, 0]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,0,"{'players': [{'position': [2, 1], 'orientation': [0, -1], 'held_object': None}, {'position': [1, 1], 'orientation': [0, -1], 'held_object': None}], 'objects': [], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",4.051,176,47,True,True,20,21
